conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,skill/competence,cross-sector,draft scientific or academic papers and technical documentation,"create technical documentation
create technical documentation and academic writings
write technical documentation
write scientific and academic papers",,released,2024-02-27T10:19:54.09Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/research","Draft and edit scientific, academic or technical texts on different subjects."
http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,skill/competence,sector-specific,operate agricultural machinery,"operating farm machinery
operating motorised farm machinery
operate farm machinery
operate motorised agricultural machinery
agricultural machinery operating
operating motorised agricultural machinery
farm machinery operating
motorised farm machinery operating
motorised agricultural machinery operating",,released,2023-11-30T15:33:40.16Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Operate motorised agricultural equipment including tractors, balers, sprayers, ploughs, mowers, combines, earthmoving equipment, trucks, and irrigation equipment."
http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5,skill/competence,cross-sector,organise labour,"worker organising
organise workers
organize labor
organising labour
workers organising
labour organising
organising workers",,released,2016-12-20T17:23:17Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Organise, allocate and coordinate members of the team. Organise production programmes and plan the production and sales. Purchase materials and equipment. Manage stocks."
http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5,skill/competence,sector-specific,control tree diseases,"diseased tree removing
tree disease controlling
remove diseased trees
diseased trees removing",,released,2023-11-30T16:42:01.296Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Identify diseased or undesirable trees. Remove them using power saws or hand saws.
http://data.europa.eu/esco/skill/0302f93a-0d38-4c00-bc37-eda17b6316ea,knowledge,sector-specific,biosecurity related to animals,"bio-security related to animals
biosecurity related to an animal
biosecurity measures when working with animals
awareness of hygiene and security measures related to animals",,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Awareness of hygiene and bio-security measures when working with animals, including causes, transmission and prevention of diseases and use of policies, materials and equipment."
http://data.europa.eu/esco/skill/05dbdec3-c9d0-4f15-91ad-0700475a0f75,skill/competence,occupation-specific,assess environmental influences on bovine feet,"assessing environmental influences on bovine feet
assess influence of environment on bovine feet
evaluating influence of environment on bovine feet
assessing influence of environment on bovine feet
environmental influences on bovine feet evaluating
environmental influences on bovine feet assessing
evaluate environmental influences on bovine feet
evaluating environmental influences on bovine feet
evaluate influence of environment on bovine feet",,released,2025-07-25T08:55:01.796Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","Assess the environment and how it can influence the health of the bovine foot. Environmental factors include diet, housing, and exposure to the environment."
http://data.europa.eu/esco/skill/05fe02a3-5d4c-4bf0-97ed-f57ae00e8aa7,skill/competence,sector-specific,handle bulk transfer of raw material,"handle the bulk transfer of raw material
administer bulk transfer of raw material
utilise bulk transfer of raw material
employ bulk transfer of raw material
use bulk transfer of raw material
handle the bulk transfer of raw materials
handle bulk transfers of raw material",,released,2024-02-09T17:29:16.725Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Transfer dry raw materials using suitable mechanical handling systems like screw feeders, or using gravity or pneumatic means."
http://data.europa.eu/esco/skill/0612b3e9-5515-4233-af5e-07191b03c4ba,skill/competence,sector-specific,monitor crops,"crop checking
check crop growth
crop growth checking
crop growth monitoring
monitor crop growth
checking crops
monitoring crop growth
checking crop growth
monitoring crops
check crops
crop monitoring",,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Monitor the growth of the crops to ensure the crops are free from diseases, harmful chemicals and organisms."
http://data.europa.eu/esco/skill/064565c0-4a4c-4a1f-b014-09227ffd5a9f,skill/competence,cross-sector,load animals for transportation,"load and unload animals for transportation
load animals for transportation in transport vehicle
load animal
load and unload animal for transportation
load animals
load animals in transport vehicle
load animals safely",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Load and unload animals safely into containers or cages for transportation. Make sure they are secure and safely established in the transport vehicle.
http://data.europa.eu/esco/skill/06b1f593-ac31-42ba-a2cd-5d86c755b416,skill/competence,sector-specific,harvest grapes,"gather grapes
harvesting grapes
grape harvesting
grape gathering
grapes harvesting
grapes gathering
gathering grapes",,released,2024-02-09T17:29:15.968Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills",Harvest wine grapes.
